CIMS.CAN.SK.Chemical Products.Chemical Product.Ammonia Methanol.Ammonia Synthesis,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Agriculture,,,Service requested,,,CIMS.CAN.SK.Agriculture,,tCO2e,11772000,13848000,12411000,15160000,16678000,16678000,16678000,16678000,16678000,16678000,16678000,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,1.17869935085346,1.46111127756675,1.88118785690178,2.11051633064967,2.21743490454655,2.88950911349726,2.7754982245565,2.67193290956931,2.5655534644401,2.56360629255541,2.56266054839566,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.54474008946622,0.63580249051724,0.87299165500765,0.89067185360318,1.0337753235807,1.13888535964377,1.23007197273538,1.30429980809667,1.36109614312113,1.37097542888446,1.38791801100494,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.CAN.SK.Electricity,CER,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.CAN.SK.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,1.00398172643318,1.00770540846205,0.98543751863212,0.94747956925584,0.94097280286954,0.9099685360173,0.85974547700378,0.85752824132152,0.87125772534436,0.88717016090188,0.89691579876092,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.CAN.SK.Hydrogen,JCIMS,,0.99999999982763,0.99999999991568,0.99999999992788,1.00000000009596,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,0.99999999992842,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,0.63993044524451,0.720980621653,0.79985634660135,0.90352294300966,1.19343520811206,1.1608730190652,1.12441572399752,1.12532494240017,1.12718164522093,1.1326100300523,1.13865716271622,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture,Sector,SK,Agriculture,,,Service requested,,,CIMS.CAN.SK.Agriculture.Process,,tCO2e,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.SK.Agriculture.Process,Service,SK,Agriculture,Process,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process,Service,SK,Agriculture,Process,,Competition type,Fixed Ratio,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process,Service,SK,Agriculture,Process,,Service requested,,,CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,,tCO2e,0.54145429833503,0.57139517265217,0.53629844492789,0.40982849604222,0.37390574409402,0.37390574409402,0.37390574409402,0.37390574409402,0.37390574409402,0.37390574409402,0.37390574409402,
CIMS.CAN.SK.Agriculture.Process,Service,SK,Agriculture,Process,,Service requested,,,CIMS.CAN.SK.Agriculture.Process.Soils,,tCO2e,0.22443085287122,0.19511842865396,0.23084360647812,0.29195250659631,0.29811728024943,0.29811728024943,0.29811728024943,0.29811728024943,0.29811728024943,0.29811728024943,0.29811728024943,
CIMS.CAN.SK.Agriculture.Process,Service,SK,Agriculture,Process,,Service requested,,,CIMS.CAN.SK.Agriculture.Heat,,tCO2e,0.23411484879375,0.23348639869387,0.23285794859399,0.29821899736148,0.32797697565655,0.32797697565655,0.32797697565655,0.32797697565655,0.32797697565655,0.32797697565655,0.32797697565655,Estimate 2005 using average of 2000 & 2010 due to odd historical data
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,,Discount rate_financial,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,,Discount rate_retrofit,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock,Available,,,,,Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock,Lifetime,,,,,Years,15,15,15,15,15,15,15,15,15,15,15,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock,Service requested,,,CIMS.CAN.SK.Agriculture.Tractors,,vkm,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock,Emissions,CH4,Process,,,tCH4,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,0.03571428571429,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,Available,,,,,Year,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,Lifetime,,,,,Years,15,15,15,15,15,15,15,15,15,15,15,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,FOM,,,,,$,300,300,300,300,300,300,300,300,300,300,300,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,Service requested,,,CIMS.CAN.SK.Agriculture.Tractors,,vkm,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,322.2717783,
CIMS.CAN.SK.Agriculture.Process.Enteric Fermentation and Manure Management,Service,SK,Agriculture,Enteric Fermentation and Manure Management,Livestock + Vaccines + Rumen changes,Emissions,CH4,Process,,,tCH4,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,0.01428571428571,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,,Discount rate_financial,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,,Discount rate_retrofit,,,,,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,Available,,,,,Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,Lifetime,,,,,Years,15,15,15,15,15,15,15,15,15,15,15,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,Market share,,,,,%,0.452,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,FCC,,,,,$,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,18.0340740246729,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,Service requested,,,CIMS.CAN.SK.Agriculture.Tractors,,vkm,112.1307725,112.1307725,112.1307725,112.1307725,112.1307725,112.1307725,112.1307725,112.1307725,112.1307725,112.1307725,112.1307725,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Conventional Tillage,Emissions,N2O,Process,,,tN2O,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,0.00335570469799,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,Available,,,,,Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,Lifetime,,,,,Years,15,15,15,15,15,15,15,15,15,15,15,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,Market share,,,,,%,0.249,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,FCC,,,,,$,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,14.2644795379439,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,FOM,,,,,$,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,18.5654205607477,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,Service requested,,,CIMS.CAN.SK.Agriculture.Tractors,,vkm,63.61010683,63.61010683,63.61010683,63.61010683,63.61010683,63.61010683,63.61010683,63.61010683,63.61010683,63.61010683,63.61010683,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Minimal Tillage,Emissions,N2O,Process,,,tN2O,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,0.00111856823266,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Zero Tillage,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Zero Tillage,Available,,,,,Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Zero Tillage,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.SK.Agriculture.Process.Soils,Service,SK,Agriculture,Soils,Zero Tillage,Lifetime,,,,,Years,15,15,15,15,15,15,15,15,15,15,15,
