CIMS.CAN.QC.Biodiesel.Steam,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1.19350482194685,1.46465321016096,1.90670487845667,2.0654226085295,2.13678786487817,2.76619818402384,2.63835267952491,2.51879234111801,2.4271402396353,2.43787395513197,2.44942911720263,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.57520399357641,0.66997710344828,0.86875462990631,0.9114681108106,1.18824933921832,1.34343294483152,1.49973549211422,1.66338669134977,1.72415548504595,1.73666997553457,1.75813182893964,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.CAN.QC.Electricity,CER,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.CAN.QC.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.99208999735546,0.98038734742852,0.94971664101975,0.97302769575549,1.02223368716669,1.08915229887174,1.16468890250074,1.16361507625045,1.14697779859904,1.12706599918832,1.11023238047718,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.CAN.QC.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.35830153401502,1.26290831278107,1.29751164160082,1.70041776593181,1.27559389668704,1.06342323407221,1.03554208529608,1.03841903187167,1.03954186286384,1.04342751289796,1.04813729547936,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Price multiplier,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Emissions_biomass,CO2,Combustion,,,tCO2,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,0.00000399131023,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,0.00001200394053,
CIMS.CAN.QC.Biodiesel,Sector,QC,Biodiesel,,,Service requested,,,CIMS.CAN.QC.Biodiesel.Production,,GJ,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,,Heterogeneity,,,,,,25,25,25,25,25,25,25,25,25,25,25,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Output,,,,,GJ,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,5617551,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,FCC,,,,,$,110645807.959587,110645807.959587,110645807.959587,110645807.959587,110645807.959587,110645807.959587,110645807.959587,110645807.959587,110645807.959587,110645807.959587,110645807.959587,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,FOM,,,,,$,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,26597062.8752847,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Service requested,,,CIMS.CAN.QC.Electricity,,GJ,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,0.009907988,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Service requested,,,CIMS.CAN.QC.Biodiesel.Agricultural Input,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Production,Service,QC,Biodiesel,Production,Biodiesel Production,Service requested,,,CIMS.CAN.QC.Biodiesel.Steam,,GJ,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,0.089933566,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,,Service provided,,,,,unit,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,,Competition type,Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,,Discount rate_financial,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Lifetime,,,,,Years,12,12,12,12,12,12,12,12,12,12,12,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Output,,,,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,FCC,,,,,$,12.075605531346,12.075605531346,12.075605531346,12.075605531346,12.075605531346,12.075605531346,12.075605531346,12.075605531346,12.075605531346,12.075605531346,12.075605531346,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,FOM,,,,,$,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel,Service requested,,,CIMS.Generic Fuels.Diesel,,GJ,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,0.086707335,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Lifetime,,,,,Years,12,12,12,12,12,12,12,12,12,12,12,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Output,,,,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,FCC,,,,,$,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,FOM,,,,,$,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Diesel HEFF,Service requested,,,CIMS.Generic Fuels.Diesel,,GJ,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Available,,,,,Year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Lifetime,,,,,Years,12,12,12,12,12,12,12,12,12,12,12,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Output,,,,,unit,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,FCC,,,,,$,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,15.5641137959569,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,FOM,,,,,$,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,10.136137191239,
CIMS.CAN.QC.Biodiesel.Agricultural Input,Service,QC,Biodiesel,Agricultural Input,Agricultural Production Biodiesel,Service requested,,,CIMS.CAN.QC.Biodiesel,,GJ,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,0.065030501,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,,Competition type,Node Tech Compete,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,,Discount rate_financial,,,,,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,,Heterogeneity,,,,,,10,10,10,10,10,10,10,10,10,10,10,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,Available,,,,,Year,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,FCC,,,,,$,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,4259802.37930292,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,FOM,,,,,$,170392.095172117,170392.095172117,170392.095172117,170392.095172117,170392.095172117,170392.095172117,170392.095172117,170392.095172117,170392.095172117,170392.095172117,170392.095172117,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Electric,Service requested,,,CIMS.CAN.QC.Electricity,,GJ,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,Available,,,,,Year,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,Market share,,,,,%,1,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,FCC,,,,,$,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,3684950.53664186,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,FOM,,,,,$,147398.021465674,147398.021465674,147398.021465674,147398.021465674,147398.021465674,147398.021465674,147398.021465674,147398.021465674,147398.021465674,147398.021465674,147398.021465674,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,NG,Service requested,,,CIMS.Generic Fuels.Natural Gas,,GJ,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,1.25494117647058,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Coal,Technology,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Coal,Available,,,,,Year,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Coal,Unavailable,,,,,Year,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Coal,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Coal,Market share,,,,,%,0,,,,,,,,,,,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Coal,Output,,,,,GJ,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Coal,FCC,,,,,$,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,11054851.6099256,
